State,Winner
"~""",45149
"~""",641622
"~""",10028
"~""",278848
"~""",187729
"~""",533815
"~""",426954
"~""",750804
"~""",310179
"~""",31953
"~""",760201
"~""",430230
"~""",255317
"~""",404163
"~""",19575
"~""",15167
"~""",468514
"~""",327604
"~""",9691
"~""",16335
"~""",428045
"~""",381161
"~""",40180
"~""",33504
"~""",30524
"~""",10225
"~""",1369
"~""",62548
"~""",66826
"~""",29347
"~""",23771
"~""",32409
"~""",566480
"~""",419195
"~""",13773
"~""",12598
"~""",562190
"~""",338101
"~""",17730
"~""",13826
"~""",11236
"~""",153883
"~""",22937
"~""",15958
"~""",11493
"~""",225796
"~""",43920
"~""",4766
"~""",435741
"~""",87608
"~""",12677
"~""",552749
"~""",59978
"~""",248081
"~""",24832
"~""",16589
"~""",15014
"~""",13680
"~""",11987
"~""",11713
"~""",141690
"~""",511352
"~""",525789
"~""",143038
"~""",13682
"~""",397230
"~""",34454
"~""",454036
"~""",47220
"~""",469114
"~""",35900
"~""",506024
"~""",72990
"~""",48634
"~""",477926
"~""",418988
"~""",12747
"~""",671388
"~""",739229
"~""",687622
"~""",576028
"~""",44398
"~""",17025
"~""",14229
"~""",500986
"~""",100282
"~""",14942
"~""",393205
"~""",250761
"~""",26172
"~""",14822
"~""",34532
"~""",7894
"~""",124068
"~""",37277
"~""",595937
"~""",161329
"~""",551523
"~""",526826
"~""",397988
"~""",581245
"~""",846526
"~""",522718
"~""",16699
"~""",20466
"~""",117456
"~""",15816
"~""",431709
"~""",104183
"~""",68316
"~""",38395
"~""",30449
"~""",13930
"~""",9912
"~""",86920
"~""",11971
"~""",269976
"~""",18638
"~""",363527
"~""",289745
"~""",12211
"~""",419689
"~""",76683
"~""",381193
"~""",8838
"~""",484166
"~""",14997
"~""",19938
"~""",10663
"~""",137749
"~""",482126
"~""",45304
"~""",435182
"~""",68509
"~""",15224
"~""",11298
"~""",9491
"~""",461679
"~""",138993
"~""",526755
"~""",106750
"~""",36700
"~""",70307
"~""",659583
"~""",295017
"~""",448911
"~""",23741
"~""",473046
"~""",434657
"~""",573532
"~""",267843
"~""",171826
"~""",44225
"~""",521824
"~""",110603
"~""",18124
"~""",16288
"~""",274597
"~""",283120
"~""",34692
"~""",23713
"~""",460635
"~""",17849
"~""",342009
"~""",40419
"~""",589873
"~""",329720
"~""",82332
"~""",19106
"~""",416131
"~""",316142
"~""",53545
"~""",16562
"~""",12609
"~""",57073
"~""",45719
"~""",11058
"~""",18888
"~""",25702
"~""",367516
"~""",35764
"~""",26117
"~""",18849
"~""",15827
"~""",416558
"~""",13941
"~""",8635
"~""",474891
"~""",26093
"~""",431517
"~""",17891
"~""",12781
"~""",12130
"~""",30882
"~""",17668
"~""",9565
"~""",350870
"~""",28905
"~""",39010
"~""",544020
"~""",441321
"~""",18219
"~""",10203
"~""",53040
"~""",69030
"~""",19674
"~""",33277
"~""",59445
"~""",24023
"~""",10686
"~""",428015
"~""",684166
"~""",441325
"~""",367302
"~""",443843
"~""",411651
"~""",62881
"~""",530382
"~""",34192
"~""",522884
"~""",487472
"~""",80349
"~""",523310
"~""",37417
"~""",13695
"~""",161999
"~""",15947
"~""",14275
"~""",526359
"~""",524592
"~""",403391
"~""",31483
"~""",14587
"~""",413561
"~""",263498
"~""",42189
"~""",454533
"~""",16995
"~""",268218
"~""",14790
"~""",447075
"~""",42901
"~""",335809
"~""",23120
"~""",11167
"~""",31956
"~""",421937
"~""",539319
"~""",14925
"~""",27864
"~""",519055
"~""",290910
"~""",637795
"~""",303581
"~""",15110
"~""",512062
"~""",459060
"~""",167590
"~""",549521
"~""",24643
"~""",36500
"~""",588753
"~""",351353
"~""",28104
"~""",20046
"~""",12946
"~""",499672
"~""",12474
"~""",335584
"~""",26325
"~""",9444
"~""",288113
"~""",587664
"~""",476260
"~""",421320
"~""",561760
"~""",11339
"~""",11142
"~""",451078
"~""",83662
"~""",13998
"~""",17227
"~""",433074
"~""",65186
"~""",50524
"~""",15973
"~""",16359
"~""",459376
"~""",33890
"~""",15575
"~""",479586
"~""",27568
"~""",317056
"~""",21302
"~""",247702
"~""",26128
"~""",102615
"~""",17932
"~""",27973
"~""",38305
"~""",45190
"~""",313003
"~""",576711
"~""",473016
"~""",105547
"~""",32107
"~""",15491
"~""",214489
"~""",13656
"~""",614816
"~""",20754
"~""",25691
"~""",684004
"~""",62771
"~""",55213
"~""",162856
"~""",68434
"~""",761202
"~""",67913
"~""",38261
"~""",722877
"~""",494501
"~""",16125
"~""",179258
"~""",726828
"~""",92417
"~""",12265
"~""",13774
"~""",18534
"~""",795651
"~""",20598
"~""",16789
"~""",75625
"~""",14027
"~""",12080
"~""",15184
"~""",711872
"~""",76185
"~""",491104
"~""",25833
"~""",14870
"~""",413695
"~""",14033
"~""",499986
"~""",15283
"~""",33568
"~""",32109
"~""",14829
"~""",771980
"~""",418183
"~""",15359
"~""",764445
"~""",685433
"~""",20807
"~""",510193
"~""",51847
"~""",20449
"~""",16097
"~""",10747
"~""",310800
"~""",29392
"~""",559177
"~""",486672
"~""",299435
"~""",15945
"~""",724311
"~""",16601
"~""",50401
"~""",608678
"~""",18426
"~""",13704
"~""",11138
"~""",10679
"~""",597377
"~""",20320
"~""",19277
"~""",15392
"~""",13693
"~""",11534
"~""",534268
"~""",136129
"~""",16001
"~""",567254
"~""",75546
"~""",23026
"~""",534918
"~""",20464
"~""",14553
"~""",10398
"~""",9894
"~""",699171
"~""",91964
"~""",17013
"~""",14205
"~""",425855
"~""",13378
"~""",55258
"~""",637610
"~""",453383
"~""",17583
"~""",16456
"~""",13613
"~""",529134
"~""",16719
"~""",10625
"~""",168043
"~""",791127
"~""",93941
"~""",430537
"~""",18338
"~""",17466
"~""",46839
"~""",377929
"~""",479765
"~""",573119
"~""",13414
"~""",23690
"~""",658335
"~""",576098
"~""",576141
"~""",76166
"~""",21857
"~""",38364
"~""",21211
"~""",451007
"~""",23573
"~""",491722
"~""",207068
"~""",14409
"~""",391173
"~""",36452
"~""",518820
"~""",20487
"~""",17724
"~""",17270
"~""",510733
"~""",626195
"~""",546017
"~""",471052
"~""",146151
"~""",783253
"~""",97771
"~""",31795
"~""",21374
"~""",327809
"~""",671448
"~""",598086
"~""",121588
"~""",25374
"~""",45848
"~""",609589
"~""",390782
"~""",11857
"~""",655386
"~""",15188
"~""",444670
"~""",41681
"~""",446774
"~""",312435
"~""",539171
"~""",32509
"~""",329055
"~""",86406
"~""",10029
"~""",681321
"~""",495819
"~""",42914
"~""",31984
"~""",29365
"~""",131530
"~""",14254
"~""",12492
"~""",10127
"~""",883719
"~""",23442
"~""",74644
"~""",12928
"~""",97060
"~""",32839
"~""",735469
"~""",596924
"~""",103870
"~""",701983
"~""",17175
"~""",95914
"~""",439489
"~""",28084
"~""",745912
"~""",23446
"~""",18648
"~""",428761
"~""",297416
"~""",731594
"~""",393233
"~""",12873
"~""",30797
"~""",11199
"~""",772195
"~""",658006
"~""",12105
"~""",288874
"~""",14633
"~""",14170
"~""",571040
"~""",20673
"~""",36016
"~""",15600
"~""",12773
"~""",406945
"~""",359556
"~""",14142
"~""",27651
"~""",26540
"~""",11223
"~""",354407
"~""",11103
"~""",14784
"~""",11412
"~""",524985
"~""",170007
"~""",25630
"~""",21988
"~""",674664
"~""",152548
"~""",684299
"~""",424091
"~""",77158
"~""",21180
"~""",63439
"~""",566082
"~""",19491
"~""",13961
"~""",15388
"~""",322807
"~""",17584
"~""",109981
"~""",491596
"~""",13932
"~""",13728
"~""",13446
"~""",15893
"~""",12370
"~""",11054
"~""",10612
"~""",51455
"~""",20697
"~""",581455
"~""",572790
"~""",11403
"~""",67183
"~""",39449
"~""",14888
"~""",863039
"~""",12887
"~""",12662
"~""",385925
"~""",29539
"~""",44327
"~""",36340
"~""",13830
"~""",660051
"~""",435616
"~""",25604
"~""",18309
"~""",707992
"~""",620192
"~""",644319
"~""",533028
"~""",23301
"~""",767292
"~""",73731
"~""",65416
"~""",15187
"~""",800051
"~""",639592
"~""",15709
"~""",820132
"~""",514448
"~""",49944
"~""",60519
"~""",431794
"~""",50222
"~""",149946
"~""",39860
"~""",13148
"~""",627250
"~""",44677
"~""",372733
"~""",32761
"~""",406695
"~""",629999
"~""",60069
"~""",304934
"~""",219328
"~""",633026
"~""",180011
"~""",443589
"~""",319971
"~""",51643
"~""",18386
"~""",274983
"~""",827234
"~""",64793
"~""",16346
"~""",12675
"~""",11964
"~""",866482
"~""",607506
"~""",31725
"~""",26128
"~""",793281
"~""",84979
"~""",421697
"~""",190856
"~""",294766
"~""",8608
"~""",3630
"~""",944503
"~""",111944
"~""",166922
"~""",16572
"~""",3990
"~""",22851
"~""",4756
"~""",201561
"~""",191806
"~""",20891
"~""",184218
"~""",13781
"~""",7396
"~""",304455
"~""",31707
"~""",224286
"~""",263632
